sep= 
Time [s]	f1 [Hz]	f3 [Hz]	f5 [Hz]	f7 [Hz]	f9 [Hz]	f11 [Hz]	f13 [Hz]	D1 [ppm]	D3 [ppm]	D5 [ppm]	D7 [ppm]	D9 [ppm]	D11 [ppm]	D13 [ppm]
0,0000	0,2712	-0,2437	-0,3466	-0,2405	-0,2758	-0,2615	-0,3022	-0,0649	-0,0030	-0,0049	-0,0052	0,0148	-0,0414	-0,0293
4,8761	-0,0328	-0,2482	-0,3291	-0,2721	-0,3731	-0,3516	-0,3774	-0,0409	-0,0058	-0,0019	-0,0193	0,0255	0,0050	0,0382
9,5082	-0,2010	-0,2308	-0,2821	-0,2058	-0,2198	-0,2178	-0,3772	0,0066	0,0012	-0,0063	-0,0094	0,0075	-0,0284	-0,0097
14,1069	-0,4271	-0,2587	-0,1813	-0,2266	-0,3288	-0,2235	-0,3249	0,0240	-0,0106	-0,0084	-0,0102	-0,0144	-0,0448	0,0196
18,6914	-0,5997	-0,2181	-0,2120	-0,1908	-0,1449	-0,1512	-0,2641	0,0582	-0,0201	0,0188	-0,0098	-0,0045	-0,0164	0,0014
23,3579	-0,8399	-0,1934	-0,2026	-0,2964	-0,2413	-0,3990	-0,3169	0,0575	-0,0113	-0,0079	0,0006	0,0378	0,0023	0,0181
27,9536	0,5514	-0,0671	-0,1291	-0,0450	-0,1286	-0,1915	-0,0459	-0,1597	0,0348	-0,0145	-0,0008	0,0182	0,0420	0,0051
32,6106	1,1632	0,0389	-0,0733	-0,1632	-0,1387	-0,1929	-0,0970	-0,2364	0,0521	0,0028	0,0090	-0,0184	-0,0036	-0,0065
37,2529	0,2360	-0,0587	-0,0895	-0,0702	-0,0589	0,0400	-0,0401	0,0209	0,0219	0,0255	0,0136	-0,0063	-0,0355	0,0243
41,9219	0,3190	0,0125	0,0291	0,0426	0,0876	-0,0288	0,0400	-0,0280	0,0268	-0,0273	0,0068	-0,0031	0,0025	0,0251
46,5846	0,1985	0,0488	0,0282	0,0898	-0,0406	0,0150	-0,0353	-0,0176	0,0037	0,0118	-0,0017	-0,0052	-0,0058	-0,0022
51,2523	0,1003	0,0271	0,0336	0,1074	0,0963	0,1751	0,2007	-0,0014	-0,0138	0,0040	-0,0115	-0,0080	-0,0102	-0,0206
55,6714	0,4348	0,1196	0,0721	0,0686	0,1652	0,1293	0,0885	-0,0407	0,0064	-0,0043	0,0026	-0,0040	0,0345	0,0023
60,0726	0,4450	0,1177	0,1134	0,0937	0,1863	0,1855	0,1562	-0,0386	-0,0083	0,0013	0,0050	0,0071	-0,0015	-0,0251
64,4616	0,2893	0,1232	0,2158	0,1843	0,2293	0,2538	0,1811	-0,0042	-0,0057	0,0057	-0,0087	0,0021	0,0121	-0,0238
68,8091	0,1491	0,1674	0,1321	0,1700	0,2131	0,2319	0,2377	0,0571	-0,0032	-0,0190	-0,0130	-0,0156	0,0206	-0,0199
73,1626	-0,0027	0,1963	0,1860	0,1847	0,1978	0,0889	0,3100	0,0397	-0,0059	-0,0331	0,0108	-0,0205	0,0561	-0,0150
77,5109	-0,1326	0,1756	0,2222	0,1812	0,2211	0,2545	0,2532	0,0371	0,0038	0,0086	-0,0002	-0,0020	0,0053	0,0046
82,0088	-0,3600	0,1383	0,2396	0,2294	0,1859	0,2272	0,1988	0,0817	-0,0299	-0,0051	0,0163	-0,0086	0,0043	-0,0262
86,6491	-0,6322	0,1733	0,2513	0,1637	0,1925	0,1951	0,2475	0,1284	-0,0176	0,0130	0,0126	-0,0028	-0,0108	0,0197
91,3211	-0,9298	0,1799	0,3220	0,1952	0,1754	0,2216	0,2670	0,1212	-0,0154	0,0411	0,0125	0,0004	0,0138	0,0198
96,0211	-1,0927	0,1716	0,2764	0,2323	0,2349	0,3111	0,1879	0,1710	-0,0220	0,0368	0,0272	0,0061	-0,0063	0,0214
100,7603	-1,4275	0,2052	0,3276	0,2914	0,2293	0,1967	0,2875	0,2267	-0,0202	0,0397	0,0117	0,0309	-0,0120	0,0019
105,4896	-1,6277	0,2223	0,3826	0,2632	0,2845	0,4625	0,2956	0,2610	-0,0398	0,0244	0,0207	0,0188	-0,0217	0,0015
110,1415	-1,9106	0,1859	0,4137	0,3611	0,3446	0,4821	0,3114	0,2854	-0,0353	0,0379	0,0190	0,0159	-0,0155	-0,0127
